iso,sex,year,suicide_rate,mental_hospitals_per_100k,general_h_units_per_100k,outpatient_facilities_per_100k,day_treatment_facilities_per_100k,comres_facilities_per_100k,psychiatrists_per_100k,nurses_per_100k,social_workers_per_100k,psychologists_per_100k,hospital_budget_pct,standalone_law,standalone_law_year,standalone_policy,standalone_policy_year,comres_beds_per_100k,mental_h_beds_per_100k,general_h_beds_per_100k
AFG,Both,2015,6.6,,,,,,,,,,,,,,,,,
AFG,Male,2015,10.9,,,,,,,,,,,,,,,,,
AFG,Female,2015,2.1,,,,,,,,,,,,,,,,,
AGO,Both,2015,9.3,,,,,,,,,,,,,,,,,
AGO,Male,2015,14.8,,,,,,,,,,,,,,,,,
AGO,Female,2015,4.7,,,,,,,,,,,,,,,,,
ALB,Both,2015,5.3,,,,,,,,,,,,,,,,,
ALB,Male,2015,6.7,,,,,,,,,,,,,,,,,
ALB,Female,2015,4,,,,,,,,,,,,,,,,,
ARE,Both,2015,2.7,,,,,,,,,,,,,,,,,
ARE,Male,2015,3.5,,,,,,,,,,,,,,,,,
ARE,Female,2015,0.8,,,,,,,,,,,,,,,,,
ARG,Both,2015,8.7,,,,,,,,,,,,,,,,,
ARG,Male,2015,14.4,,,,,,,,,,,,,,,,,
ARG,Female,2015,3.4,,,,,,,,,,,,,,,,,
ARM,Both,2015,6,,,,,,,,,,,,,,,,,
ARM,Male,2015,10.7,,,,,,,,,,,,,,,,,
ARM,Female,2015,2.2,,,,,,,,,,,,,,,,,
ATG,Both,2015,0.8,,,,,,,,,,,,,,,,,
ATG,Male,2015,0,,,,,,,,,,,,,,,,,
ATG,Female,2015,1.6,,,,,,,,,,,,,,,,,
AUS,Both,2015,12.2,0.071,0.601,,1.105,0.752,13.525,90.582,,103.036,7.8,Yes,,Yes,2009,10.383,7.214,21.761
AUS,Male,2015,18.3,0.071,0.601,,1.105,0.752,13.525,90.582,,103.036,7.8,Yes,,Yes,2009,10.383,7.214,21.761
AUS,Female,2015,6.2,0.071,0.601,,1.105,0.752,13.525,90.582,,103.036,7.8,Yes,,Yes,2009,10.383,7.214,21.761
AUT,Both,2015,11.5,0.092,0.265,3.457,2.616,4.448,,,,,,No,,No,,59.664,26.087,19.485
AUT,Male,2015,18.2,0.092,0.265,3.457,2.616,4.448,,,,,,No,,No,,59.664,26.087,19.485
AUT,Female,2015,5.3,0.092,0.265,3.457,2.616,4.448,,,,,,No,,No,,59.664,26.087,19.485
AZE,Both,2015,2.7,,,,,,,,,,,,,,,,,
AZE,Male,2015,4.4,,,,,,,,,,,,,,,,,
AZE,Female,2015,1,,,,,,,,,,,,,,,,,
BDI,Both,2015,14.8,,,,,,,,,,,,,,,,,
BDI,Male,2015,22.7,,,,,,,,,,,,,,,,,
BDI,Female,2015,7.7,,,,,,,,,,,,,,,,,
BEL,Both,2015,15.2,,,,,,,,,,,,,,,,,
BEL,Male,2015,21.6,,,,,,,,,,,,,,,,,
BEL,Female,2015,8.9,,,,,,,,,,,,,,,,,
BEN,Both,2015,15.7,,,,,,,,,,,,,,,,,
BEN,Male,2015,22.5,,,,,,,,,,,,,,,,,
BEN,Female,2015,9.6,,,,,,,,,,,,,,,,,
BFA,Both,2015,14.8,,,,,,,,,,,,,,,,,
BFA,Male,2015,22.5,,,,,,,,,,,,,,,,,
BFA,Female,2015,9,,,,,,,,,,,,,,,,,
BGD,Both,2015,6.3,,,,,,,,,,,,,,,,,
BGD,Male,2015,5.5,,,,,,,,,,,,,,,,,
BGD,Female,2015,7.2,,,,,,,,,,,,,,,,,
BGR,Both,2015,7.9,,,,,,,,,,,,,,,,,
BGR,Male,2015,13.1,,,,,,,,,,,,,,,,,
BGR,Female,2015,3.2,,,,,,,,,,,,,,,,,
BHR,Both,2015,5.7,,,,,,,,,,,,,,,,,
BHR,Male,2015,7.9,,,,,,,,,,,,,,,,,
BHR,Female,2015,2.2,,,,,,,,,,,,,,,,,
BHS,Both,2015,1.6,0.259,0.259,0.517,0.259,,,,,,,Yes,2010,Yes,2012,,97.457,3.102
BHS,Male,2015,2.9,0.259,0.259,0.517,0.259,,,,,,,Yes,2010,Yes,2012,,97.457,3.102
BHS,Female,2015,0.5,0.259,0.259,0.517,0.259,,,,,,,Yes,2010,Yes,2012,,97.457,3.102
BIH,Both,2015,6.6,0.085,0.537,1.442,,,8.032,22.144,0.594,1.527,,Yes,2011,Yes,2016,,13.744,23.36
BIH,Male,2015,11,0.085,0.537,1.442,,,8.032,22.144,0.594,1.527,,Yes,2011,Yes,2016,,13.744,23.36
BIH,Female,2015,2.6,0.085,0.537,1.442,,,8.032,22.144,0.594,1.527,,Yes,2011,Yes,2016,,13.744,23.36
BLR,Both,2015,21.2,,,,,,,,,,,,,,,,,
BLR,Male,2015,39.2,,,,,,,,,,,,,,,,,
BLR,Female,2015,6.1,,,,,,,,,,,,,,,,,
BLZ,Both,2015,6.1,,,,,,,,,,,,,,,,,
BLZ,Male,2015,10.1,,,,,,,,,,,,,,,,,
BLZ,Female,2015,2.1,,,,,,,,,,,,,,,,,
BOL,Both,2015,13.1,,,,,,,,,,,,,,,,,
BOL,Male,2015,17.1,,,,,,,,,,,,,,,,,
BOL,Female,2015,9.2,,,,,,,,,,,,,,,,,
BRA,Both,2015,6.2,,,,,,,,,,,,,,,,,
BRA,Male,2015,9.7,,,,,,,,,,,,,,,,,
BRA,Female,2015,2.9,,,,,,,,,,,,,,,,,
BRB,Both,2015,0.4,0.352,0.352,4.574,,0.704,,63.332,,,9.2,Yes,1991,Yes,2004,17.592,184.014,4.222
BRB,Male,2015,0.7,0.352,0.352,4.574,,0.704,,63.332,,,9.2,Yes,1991,Yes,2004,17.592,184.014,4.222
BRB,Female,2015,0.3,0.352,0.352,4.574,,0.704,,63.332,,,9.2,Yes,1991,Yes,2004,17.592,184.014,4.222
BRN,Both,2015,4.5,,,,,,,,,,,,,,,,,
BRN,Male,2015,6.1,,,,,,,,,,,,,,,,,
BRN,Female,2015,2.8,,,,,,,,,,,,,,,,,
BTN,Both,2015,11.9,,,,,,,,,,,,,,,,,
BTN,Male,2015,14.1,,,,,,,,,,,,,,,,,
BTN,Female,2015,9.2,,,,,,,,,,,,,,,,,
BWA,Both,2015,12,,,,,,,,,,,,,,,,,
BWA,Male,2015,19,,,,,,,,,,,,,,,,,
